molecule_chembl_id,canonical_smiles,standard_value
MB197,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(OC)C=C2)=O)=C/C1=C\NCCCNC3=CC=NC4=CC(Cl)=CC=C34,75.23
MB198,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(Cl)C=C2)=O)=C/C1=C\NCCCNC3=CC=NC4=CC(Cl)=CC=C34,74.8
MB199,O=C1C(C)=CC(/C=C/C(C2=CC=C(OC)C=C2)=O)=C/C1=C\NC(C=C3)=CC=C3NC4=CC=NC5=CC(Cl)=CC=C45,365.94
MB200,O=C1C(C)=CC(/C=C/C(C2=CC=C(F)C=C2)=O)=C/C1=C\NC(C=C3)=CC=C3NC4=CC=NC5=CC(Cl)=CC=C45,299.06
MB201,O=C1C(C(CC)C)=CC(/C=C/C(C2=CC=CO2)=O)=C/C1=C\NC(C=C3)=CC=C3NC4=CC=NC5=CC(Cl)=CC=C45,145.45
MB202,O=C1C(C(C)(C)C)=CC(/C=C/C(C2=CC=C(Cl)C=C2)=O)=C/C1=C\NC(C=C3)=CC=C3NC4=CC=NC5=CC(Cl)=CC=C45,638.84
MB204,O=C(C1=CC=C(OC)C=C1O)/C=C/C2=CC=C(N(CC)CC)C=C2,7280
MB205,O=C(C1=CC=C(OC)C=C1O)/C=C/C2=CC=C(O)C(O)=C2,590
MB206,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(O)C(OC)=C2,25840
MB207,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OCC=C)C(OC)=C2,5260
MB208,O=C(C1=CC=C(Cl)C=C1)/C=C/C2=CC=C(OC)C(OC)=C2,7300
MB209,O=C(C1=CC=C(OC)C(OC)=C1)/C=C/C2=CC=C(OC)C(OC)=C2,5360
MB210,O=C(C1=CC=C(OC)C(OC)=C1)/C=C/C2=CC(OC)=C(OC)C(Cl)=C2,11380
MB211,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC3=CC=CC=C3OC2=O,8460
MB212,O=C(/C=C/C1=CC=C(O)C(OC)=C1)C2=CC3=CC=CC=C3OC2=O,34120
MB213,O=C(/C=C/C1=CC=C(OC)C(OC)=C1)C2=CC3=CC=CC=C3OC2=O,79380
MB215,O=C(/C=C/C1=CC(OC)=CC=C1OC)C2=CC3=CC=CC=C3OC2=O,8020
MB216,O=C(/C=C/C1=CC=C(OC)C(OC)=C1OC)C2=CC3=CC=CC=C3OC2=O,9210
MB219,O=C(/C=C/C1=CC=CC=C1Cl)C2=C(O)C3=C(C=C2)OC(C=C3C)=O,58690
MB222,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3C4=CC=CC=C4N=N3)C=C2,6940
MB223,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3C=CC=N3)C=C2,25130
MB224,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3CCCC3)C=C2,19270
MB225,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3CCOCC3)C=C2,27750
MB226,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3C=CN=C3)C=C2,26750
MB227,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3N=CN=C3)C=C2,4900
MB228,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC=C(N3CCCCC3)C=C2,15800
